title,author
The Invention of Wings about,"Kidd, Sue Monk *"
Wild: From Lost to Found on the Pacific Crest Trail,"Strayed, Cheryl *"
A Tale of Two Cities / Great Expectations,"Dickens, Charles"
Freedom,"Franzen, Jonathan"
Say You're One of Them,"Akpan, Uwem"
The Story of Edgar Sawtelle,"Wroblewski, David"
A New Earth,"Tolle, Eckhart"
"The Pillars of the Earth (The Pillars of the Earth, #1)","Follett, Ken *"
Love in the Time of Cholera,"Garc¡?a M rquez, Gabriel"
Middlesex,"Eugenides, Jeffrey"
The Road,"McCarthy, Cormac"
Night,"Wiesel, Elie"
The Measure of a Man: A Spiritual Autobiography,"Poitier, Sidney"
The Twelve Tribes of Hattie,"Mathis, Ayana *"
A Million Little Pieces,"Frey, James"
Light in August,"Faulkner, William"
The Sound and the Fury,"Faulkner, William"
As I Lay Dying,"Faulkner, William"
The Good Earth,"Buck, Pearl S."
Anna Karenina,"Tolstoy, Leo"
The Heart Is a Lonely Hunter,"McCullers, Carson"
One Hundred Years of Solitude,"Garc¡?a M rquez, Gabriel"
"Cry, The Beloved Country","Paton, Alan"
East of Eden,"Steinbeck, John"
Sula,"Morrison, Toni"
Fall on Your Knees,"MacDonald, Ann-Marie"
A Fine Balance,"Mistry, Rohinton"
The Corrections,"Franzen, Jonathan"
Cane River,"Tademy, Lalita *"
Stolen Lives: Twenty Years in a Desert Jail,"Oufkir, Malika"
Icy Sparks (Oprah's Book Club),"Rubio, Gwyn Hyman *"
We Were the Mulvaneys,"Oates, Joyce Carol"
House of Sand and Fog,"Dubus III, Andre"
Drowning Ruth,"Schwarz, Christina *"
Open House,"Berg, Elizabeth"
The Poisonwood Bible,"Kingsolver, Barbara"
While I Was Gone,"Miller, Sue"
The Bluest Eye,"Morrison, Toni"
Back Roads,"O'Dell, Tawni *"
Daughter of Fortune,"Allende, Isabel *"
Gap Creek,"Morgan, Robert"
A Map of the World,"Hamilton, Jane"
Vinegar Hill,"Ansay, A. Manette"
"River, Cross My Heart","Clarke, Breena *"
Tara Road,"Binchy, Maeve"
Mother of Pearl,"Haynes, Melinda"
White Oleander,"Fitch, Janet *"
Pilot's Wife,"Shreve, Anita *"
The Reader,"Schlink, Bernhard"
Jewel,"Lott, Bret *"
Where the Heart Is,"Letts, Billie"
Midwives,"Bohjalian, Chris *"
What Looks Like Crazy on an Ordinary Day (Idlewild #1),"Cleage, Pearl"
I Know This Much Is True,"Lamb, Wally"
"Breath, Eyes, Memory","Danticat, Edwidge"
Black and Blue,"Quindlen, Anna"
Here on Earth,"Hoffman, Alice *"
Paradise,"Morrison, Toni"
The Best Way to Play,"Cosby, Bill"
The Treasure Hunt: A Little Bill Book,"Cosby, Bill"
The Meanest Thing To Say,"Cosby, Bill"
Virtuous Woman,"Gibbons, Kaye"
Ellen Foster,"Gibbons, Kaye"
A Lesson Before Dying,"Gaines, Ernest J."
Songs in Ordinary Time,"Morris, Mary McGarry"
The Heart of a Woman,"Angelou, Maya"
The Rapture of Canaan,"Reynolds, Sheri *"
Stones from the River,"Hegi, Ursula"
She's Come Undone,"Lamb, Wally"
The Book of Ruth,"Hamilton, Jane"
Song of Solomon,"Morrison, Toni"
"The Deep End of the Ocean (Cappadora Family, #1)","Mitchard, Jacquelyn *"
